symbol,pnl,ret_pct,exit_reason,r72_pct,r24_pct,r6_pct,vr,regime,sig,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h,high_1h,high_4h,low_below_entry_1h,low_below_entry_3h
MOVR/USDT,-9525.09,-6.76,pump_3h_down,24.0,19.0,14.0,10.8,WARM,early,11.52476,11885.48,-3.49,-6.62,-6.68,-6.68,1.28,1.28,-6.31,-8.28,True,True,True,True
VIC/USDT,-6379.94,-4.63,pump_3h_down,29.0,20.0,13.0,55.2,WARM,early,0.381691,346386.23,-2.59,-2.96,-2.07,-4.14,1.5,1.5,-2.96,-4.9,True,True,True,True
1000SATS/USDT,2918.35,2.44,pump_stagnation_exit,13.0,22.0,20.0,3.9,WARM,early,0.000248,526098590.57,2.41,0.51,2.37,2.89,2.85,7.98,-1.3,-1.3,True,True,True,True
WLD/USDT,634.11,0.69,pump_stagnation_exit,28.0,26.0,16.0,5.7,HOT,early,2.287143,57049.67,-1.49,2.14,2.18,1.22,0.91,4.45,-1.8,-1.8,True,True,True,True
PEPE/USDT,-9527.41,-5.88,pump_3h_down,40.0,26.0,14.0,2.0,WARM,early,1.2e-05,12775173396.09,0.28,-3.71,-5.34,-5.91,2.23,2.23,-1.43,-6.32,True,True,True,True
WLD/USDT,-1893.17,-1.05,pump_time_exit,44.0,33.0,21.0,3.4,WARM,early,2.622311,57673.67,1.21,7.69,6.05,6.55,5.78,9.9,-0.7,-0.7,True,True,True,True
BONK/USDT,-2780.29,-2.02,pump_stagnation_exit,12.0,21.0,15.0,3.9,WARM,early,3.2e-05,3948904585.04,0.23,-0.21,-1.0,-0.43,0.71,2.03,-1.53,-1.79,True,True,True,True
ZRO/USDT,-911.88,-0.54,pump_time_exit,17.0,23.0,16.0,5.0,WARM,early,4.794396,25799.7,0.51,0.6,7.94,7.0,1.08,8.88,-1.84,-1.84,True,True,True,True
CFX/USDT,2103.39,1.91,pump_stagnation_exit,8.0,19.0,11.0,2.9,HOT,early,0.169185,728422.45,0.42,2.08,1.96,4.15,0.66,4.32,-0.4,-0.4,True,True,True,True
PUNDIX/USDT,-2529.93,-1.84,pump_3h_down,20.0,22.0,14.0,2.3,WARM,early,0.494747,251219.28,3.47,-0.41,0.13,-0.41,4.21,4.21,-1.99,-1.99,True,True,True,True
BOME/USDT,2835.18,2.51,pump_stagnation_exit,22.0,21.0,12.0,2.8,WARM,early,0.010198,12063471.88,1.49,1.55,3.64,2.59,2.52,3.97,-0.46,-0.46,True,True,True,True
PENDLE/USDT,-554.51,-0.25,pump_time_exit,-8.0,34.0,20.0,2.5,WARM,early,2.740369,45410.94,-1.69,1.56,1.19,1.04,2.07,11.3,-3.95,-4.14,True,True,True,True
WIF/USDT,-7599.04,-5.93,pump_stagnation_exit,11.0,28.0,17.0,2.7,WARM,early,1.749874,70956.72,-0.28,-0.28,-1.25,0.06,0.92,1.26,-0.96,-2.51,True,True,True,True
QKC/USDT,4561.63,3.36,pump_stagnation_exit,38.0,31.0,28.0,49.1,HOT,early,0.00846,17072438.38,1.24,2.46,3.07,2.59,4.62,7.31,-0.22,-0.3,True,True,True,True
QKC/USDT,-7293.72,-8.0,pump_initial_stop,94.0,87.0,41.0,3.7,WARM,early,0.012355,7210205.62,-7.97,-7.97,-7.97,-7.97,0.36,0.36,-14.03,-14.03,True,True,True,True
RARE/USDT,-818.65,-2.59,pump_stagnation_exit,222.0,48.0,33.0,2.4,WARM,early,0.301551,97539.73,2.21,-6.58,-8.87,-5.52,2.9,2.9,-8.04,-11.13,True,True,True,True
SUN/USDT,47266.58,73.79,pump_trailing_stop,114.0,18.0,28.0,2.6,WARM,early,0.022131,2905296.6,0.22,0.94,11.02,11.83,3.29,16.35,-6.65,-6.65,True,True,True,True
SUN/USDT,-232.85,-0.02,pump_stagnation_exit,147.0,56.0,20.0,1.8,HOT,early,0.038499,2723925.11,-3.35,-5.3,-4.13,-5.71,6.76,6.76,-7.3,-7.3,True,True,True,True
SUI/USDT,-1017.02,-0.49,pump_time_exit,49.0,27.0,10.0,2.0,HOT,early,0.791295,185992.56,4.06,7.73,7.22,5.75,4.84,10.06,-0.57,-0.57,True,True,True,True
